timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15 01:13:01.325000+00:00,A,B,A-B,2.2,-80.3,54.95,-42
2026-07-15 01:13:01.469000+00:00,A,B,A-B,2.19,-80.1,54.95,-42
2026-07-15 01:13:01.610000+00:00,A,B,A-B,2.18,-79.76,54.95,-52
2026-07-15 01:13:01.767000+00:00,A,B,A-B,2.16,-80.37,54.95,-46
2026-07-15 01:13:14.429000+00:00,B,C,B-C,2.88,-80.01,-92.08,-61
2026-07-15 01:13:14.565000+00:00,B,C,B-C,2.87,-79.86,-92.04,-49
2026-07-15 01:13:14.681000+00:00,B,C,B-C,2.86,-80.53,-91.69,-61
2026-07-15 01:13:14.791000+00:00,B,C,B-C,2.87,-80.46,-91.93,-66
2026-07-15 01:13:14.984000+00:00,B,C,B-C,2.89,-80.26,-92.3,-62
2026-07-15 01:13:17.551000+00:00,A,B,A-B,2.19,-79.62,54.95,-40
2026-07-15 01:13:17.691000+00:00,A,B,A-B,2.14,-81.29,54.95,-40
2026-07-15 01:13:17.835000+00:00,A,B,A-B,2.19,-79.65,54.95,-42
2026-07-15 01:13:29.319000+00:00,B,C,B-C,2.88,-79.79,-106.76,-64
2026-07-15 01:13:29.465000+00:00,B,C,B-C,2.87,-79.37,-106.76,-58
2026-07-15 01:13:29.608000+00:00,B,C,B-C,2.91,-80.23,-106.76,-54
2026-07-15 01:13:30.341000+00:00,B,C,B-C,2.88,-79.82,-91.17,-54
2026-07-15 01:13:30.473000+00:00,B,C,B-C,2.87,-80.36,-91.56,-65
2026-07-15 01:13:30.657000+00:00,B,C,B-C,2.88,-80.68,-92.02,-60
2026-07-15 01:13:30.703000+00:00,C,D,C-D,2.16,-80.37,0.0,-53
2026-07-15 01:13:30.844000+00:00,B,C,B-C,2.86,-80.51,-92.47,-61
2026-07-15 01:13:30.874000+00:00,C,D,C-D,2.14,-80.1,0.0,-47
2026-07-15 01:13:31.120000+00:00,C,D,C-D,2.1,-75.72,0.0,-57
2026-07-15 01:13:31.268000+00:00,B,C,B-C,2.86,-79.64,-91.22,-52
2026-07-15 01:13:33.890000+00:00,A,D,A-D,3.17,-80.15,54.95,-56
2026-07-15 01:13:38.646000+00:00,B,C,B-C,2.84,-80.7,-93.09,-49
2026-07-15 01:13:38.771000+00:00,B,C,B-C,2.87,-79.93,-91.7,-51
2026-07-15 01:13:38.916000+00:00,B,C,B-C,2.86,-79.97,-91.99,-56
2026-07-15 01:13:39.226000+00:00,B,C,B-C,2.87,-79.64,-91.86,-52
2026-07-15 01:13:40.830000+00:00,A,C,A-C,3.44,-80.22,54.95,-58
2026-07-15 01:13:40.973000+00:00,A,C,A-C,3.44,-80.98,54.95,-62
2026-07-15 01:13:41.185000+00:00,A,C,A-C,3.44,-80.67,54.95,-58
2026-07-15 01:13:41.325000+00:00,A,C,A-C,3.45,-80.27,54.95,-53
2026-07-15 01:13:41.461000+00:00,A,C,A-C,3.42,-80.84,54.95,-63
2026-07-15 01:13:41.604000+00:00,A,C,A-C,3.44,-80.47,54.95,-52
2026-07-15 01:13:41.741000+00:00,A,C,A-C,3.44,-80.05,54.95,-63
2026-07-15 01:13:41.882000+00:00,A,C,A-C,3.42,-80.59,54.95,-59
2026-07-15 01:13:45.667000+00:00,B,D,B-D,3.45,-79.22,54.91,-61
2026-07-15 01:13:45.798000+00:00,B,D,B-D,3.42,-79.63,54.91,-49
2026-07-15 01:13:46.034000+00:00,B,D,B-D,3.52,-79.5,54.91,-46
2026-07-15 01:13:54.734000+00:00,B,C,B-C,2.86,-80.05,-91.78,-59
2026-07-15 01:13:54.847000+00:00,B,C,B-C,2.86,-80.59,-91.85,-53
2026-07-15 01:13:54.969000+00:00,B,C,B-C,2.87,-80.22,-92.8,-50
2026-07-15 01:13:55.237000+00:00,B,C,B-C,2.89,-79.78,-91.03,-48
2026-07-15 01:13:57.307000+00:00,A,C,A-C,3.4,-81.63,54.95,-31
2026-07-15 01:13:57.449000+00:00,A,C,A-C,3.43,-80.67,54.95,-39
2026-07-15 01:13:57.589000+00:00,A,C,A-C,3.47,-80.73,54.95,-39
2026-07-15 01:13:57.731000+00:00,A,C,A-C,3.42,-80.48,54.95,-39
2026-07-15 01:13:57.874000+00:00,A,C,A-C,3.45,-80.95,54.95,-48
2026-07-15 01:14:08.868000+00:00,B,C,B-C,2.9,-79.54,54.91,-52
2026-07-15 01:14:09.001000+00:00,B,C,B-C,2.87,-79.91,54.91,-47
2026-07-15 01:14:09.260000+00:00,B,C,B-C,2.89,-80.23,54.91,-61
2026-07-15 01:14:09.403000+00:00,B,C,B-C,2.88,-80.41,54.91,-59
2026-07-15 01:14:09.545000+00:00,B,C,B-C,2.87,-80.63,54.91,-62
2026-07-15 01:14:11.238000+00:00,C,D,C-D,2.15,-79.68,54.91,-49
2026-07-15 01:14:13.434000+00:00,A,C,A-C,3.45,-80.27,0.0,-62
2026-07-15 01:14:21.778000+00:00,B,D,B-D,3.52,-79.35,54.91,-57
2026-07-15 01:14:22.032000+00:00,A,D,A-D,3.5,-79.97,54.95,-60
2026-07-15 01:14:22.033000+00:00,B,D,B-D,3.5,-79.97,54.91,-57
2026-07-15 01:14:22.166000+00:00,B,D,B-D,3.58,-80.04,54.91,-55
2026-07-15 01:14:22.324000+00:00,B,D,B-D,3.63,-79.37,54.91,-59
2026-07-15 01:14:22.545000+00:00,B,D,B-D,3.72,-79.23,54.91,-65
2026-07-15 01:14:22.691000+00:00,B,D,B-D,3.88,-80.0,54.91,-60
2026-07-15 01:14:22.824000+00:00,B,D,B-D,3.92,-79.27,54.91,-56
2026-07-15 01:14:26.849000+00:00,C,D,C-D,2.17,-79.77,54.91,-49
2026-07-15 01:14:27.278000+00:00,C,D,C-D,2.19,-79.75,54.91,-44
2026-07-15 01:14:29.719000+00:00,A,D,A-D,3.0,-80.35,54.95,-59
2026-07-15 01:14:36.667000+00:00,A,C,A-C,3.42,-81.38,54.95,-24
2026-07-15 01:14:36.810000+00:00,A,C,A-C,3.41,-80.72,54.95,-23
2026-07-15 01:14:36.950000+00:00,A,C,A-C,3.38,-81.22,54.95,-25
2026-07-15 01:14:37.107000+00:00,A,C,A-C,3.43,-81.43,54.95,-32
2026-07-15 01:14:37.438000+00:00,A,C,A-C,3.42,-81.53,54.95,-36
2026-07-15 01:14:37.572000+00:00,A,C,A-C,3.45,-80.78,54.95,-36
2026-07-15 01:14:37.713000+00:00,A,C,A-C,3.5,-81.05,54.95,-43
2026-07-15 01:14:37.960000+00:00,A,C,A-C,3.46,-80.58,54.95,-41
2026-07-15 01:14:38.177000+00:00,B,D,B-D,3.5,-79.52,54.91,-58
2026-07-15 01:14:38.314000+00:00,B,D,B-D,3.4,-79.69,54.91,-60
2026-07-15 01:14:38.555000+00:00,B,D,B-D,3.45,-79.49,54.91,-51
2026-07-15 01:14:38.692000+00:00,B,D,B-D,3.53,-79.75,54.91,-58
2026-07-15 01:14:38.836000+00:00,B,D,B-D,3.48,-79.45,54.91,-53
2026-07-15 01:14:53.026000+00:00,A,D,A-D,2.84,-80.5,54.95,-43
2026-07-15 01:14:53.178000+00:00,A,D,A-D,2.8,-81.02,54.95,-42
2026-07-15 01:14:53.390000+00:00,A,D,A-D,2.82,-81.11,54.95,-38
2026-07-15 01:14:53.533000+00:00,A,D,A-D,2.83,-80.46,54.95,-46
2026-07-15 01:14:53.670000+00:00,A,D,A-D,2.84,-80.19,54.95,-37
2026-07-15 01:14:53.812000+00:00,A,D,A-D,2.84,-80.38,54.95,-44
2026-07-15 01:14:54.385000+00:00,A,B,A-B,2.13,-81.1,-92.59,-47
2026-07-15 01:14:54.534000+00:00,A,B,A-B,2.1,-76.94,-93.07,-49
2026-07-15 01:14:54.662000+00:00,A,B,A-B,2.19,-80.84,-92.06,-50
2026-07-15 01:14:54.810000+00:00,A,B,A-B,2.26,-80.14,-92.24,-41
2026-07-15 01:14:58.730000+00:00,B,C,B-C,2.9,-80.72,-91.93,-50
