trial,link,samples,rx_mean,rx_std,attenuation_db,range_mean,range_delta_m,fp_mean
standing_20cm_in_front_of boardD,A-B,11.0,-84.04454545454546,12.458101270768646,2.8823787878787925,2.153636363636364,-0.5266969696969692,11.825454545454546
standing_20cm_in_front_of boardD,A-C,12.0,-81.16250000000001,0.4666929105174757,0.7019117647058977,3.4025,-0.016911764705882515,-55.29999999999999
standing_20cm_in_front_of boardD,A-D,4.0,-79.375,1.7752464617624217,-0.6141666666666623,2.855,0.0349999999999997,54.95
standing_20cm_in_front_of boardD,B-C,,,,,,,
standing_20cm_in_front_of boardD,B-D,8.0,-80.93,3.6497397167469336,-0.19238095238094388,3.46625,0.14815476190476184,54.91
standing_20cm_in_front_of boardD,C-D,5.0,-83.28,3.2849657532461403,2.082307692307694,2.6580000000000004,0.2983846153846157,43.928
standing_20cm_in_front_of_board_B,A-B,21.0,-80.67857142857143,1.416408435848523,-0.4835952380952335,2.1804761904761905,-0.49985714285714256,-36.06095238095238
standing_20cm_in_front_of_board_B,A-C,11.0,-80.88545454545455,0.2041746133271009,0.4248663101604393,3.4209090909090913,0.0014973262032089707,54.95
standing_20cm_in_front_of_board_B,A-D,4.0,-80.2375,0.17499999999999818,0.24833333333333485,2.8875,0.0674999999999999,54.95
standing_20cm_in_front_of_board_B,B-C,,,,,,,
standing_20cm_in_front_of_board_B,B-D,,,,,,,
standing_20cm_in_front_of_board_B,C-D,3.0,-80.07666666666667,0.15307950004273418,-1.1210256410256392,2.1466666666666665,-0.21294871794871817,54.91
standing_in_front_of_board_C_20cm,A-B,12.0,-80.005,0.9458089370769024,-1.1571666666666687,2.1641666666666666,-0.5161666666666664,-43.12833333333333
standing_in_front_of_board_C_20cm,A-C,35.0,-80.48085714285715,0.6293150872111651,0.02026890756303601,3.708285714285714,0.2888739495798318,8.58057142857143
standing_in_front_of_board_C_20cm,A-D,3.0,-80.11333333333333,0.025166114784239767,0.12416666666666742,3.2566666666666664,0.4366666666666661,54.95000000000001
standing_in_front_of_board_C_20cm,B-C,30.0,-79.889,0.9837624818469415,-0.11023076923076758,3.94,1.0538461538461537,-52.596000000000004
standing_in_front_of_board_C_20cm,B-D,12.0,-80.685,2.0091585755778913,-0.43738095238094843,3.645,0.3269047619047618,54.91
standing_in_front_of_board_C_20cm,C-D,16.0,-80.685625,1.6830447359869365,-0.5120673076923055,2.2275,-0.13211538461538463,20.59125
standing_in_front_of_boardA_20cm,A-B,24.0,-80.18541666666667,0.48232209305533547,-0.9767499999999956,2.17875,-0.501583333333333,-12.354166666666664
standing_in_front_of_boardA_20cm,A-C,22.0,-81.33863636363637,0.5282251995804926,0.8780481283422574,3.2895454545454546,-0.12986631016042782,54.95
standing_in_front_of_boardA_20cm,A-D,2.0,-80.455,0.558614357137367,0.465833333333336,3.12,0.2999999999999998,54.95
standing_in_front_of_boardA_20cm,B-C,2.0,-80.215,0.6858935777509503,0.21576923076924004,2.89,0.0038461538461538325,-91.95
standing_in_front_of_boardA_20cm,B-D,5.0,-80.38199999999999,2.5648723165101175,-0.7403809523809599,3.468,0.14990476190476176,54.90999999999999
standing_in_front_of_boardA_20cm,C-D,,,,,,,
walking_between_A_and_C_continusoly_back_and_froth,A-B,15.0,-80.14066666666668,1.0278303547255443,-1.021499999999989,2.1753333333333336,-0.5049999999999994,-23.65
walking_between_A_and_C_continusoly_back_and_froth,A-C,26.0,-80.73961538461539,0.4292083947849203,0.2790271493212799,3.4384615384615387,0.019049773755656307,44.38269230769231
walking_between_A_and_C_continusoly_back_and_froth,A-D,9.0,-80.4588888888889,0.38165574947995773,0.4697222222222308,2.96,0.13999999999999968,54.95
walking_between_A_and_C_continusoly_back_and_froth,B-C,31.0,-80.1416129032258,0.3722731682890364,0.14238213399504218,2.8758064516129034,-0.010347394540942911,-69.65935483870967
walking_between_A_and_C_continusoly_back_and_froth,B-D,15.0,-79.56533333333333,0.27523669467430895,-1.5570476190476228,3.566666666666667,0.24857142857142867,54.91
walking_between_A_and_C_continusoly_back_and_froth,C-D,6.0,-79.23166666666667,1.7401771940427997,-1.966025641025638,2.151666666666667,-0.20794871794871783,27.455
