timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15 00:59:31.672000+00:00,B,C,B-C,2.89,-79.82,0.0,-44
2026-07-15 00:59:38.918000+00:00,B,D,B-D,3.43,-78.91,0.0,-71
2026-07-15 00:59:39.168000+00:00,B,D,B-D,3.42,-79.77,0.0,-59
2026-07-15 00:59:39.683000+00:00,B,D,B-D,3.43,-79.26,0.0,-68
2026-07-15 00:59:47.135000+00:00,B,D,B-D,2.18,-87.42,54.91,-77
2026-07-15 00:59:47.137000+00:00,C,D,C-D,2.18,-87.42,54.91,-71
2026-07-15 00:59:53.918000+00:00,B,C,B-C,2.89,-80.19,-91.77,-56
2026-07-15 00:59:54.058000+00:00,B,C,B-C,2.86,-80.07,-92.13,-53
2026-07-15 00:59:55.508000+00:00,B,C,B-C,2.89,-80.32,54.91,-57
2026-07-15 00:59:55.648000+00:00,B,C,B-C,2.89,-79.71,54.91,-57
2026-07-15 01:00:02.712000+00:00,B,D,B-D,3.46,-78.94,54.91,-60
2026-07-15 01:00:02.950000+00:00,B,D,B-D,3.43,-88.39,54.91,-61
2026-07-15 01:00:02.951000+00:00,C,D,C-D,3.43,-88.39,54.91,-61
2026-07-15 01:00:03.086000+00:00,B,D,B-D,3.45,-79.5,54.91,-60
2026-07-15 01:00:03.088000+00:00,C,D,C-D,3.45,-79.5,54.91,-61
2026-07-15 01:00:03.229000+00:00,B,D,B-D,3.51,-84.51,54.91,-63
2026-07-15 01:00:03.231000+00:00,C,D,C-D,3.51,-84.51,54.91,-62
2026-07-15 01:00:03.668000+00:00,B,D,B-D,3.44,-79.46,54.91,-65
2026-07-15 01:00:05.406000+00:00,A,C,A-C,3.44,-80.51,54.95,-77
2026-07-15 01:00:05.654000+00:00,A,C,A-C,3.43,-80.5,54.95,-74
2026-07-15 01:00:05.821000+00:00,A,C,A-C,3.42,-80.28,54.95,-75
2026-07-15 01:00:10.124000+00:00,C,D,C-D,2.17,-79.56,0.0,-72
2026-07-15 01:00:10.371000+00:00,C,D,C-D,2.15,-79.55,0.0,-71
2026-07-15 01:00:10.538000+00:00,C,D,C-D,2.13,-81.95,0.0,-71
2026-07-15 01:00:10.813000+00:00,C,D,C-D,2.14,-79.61,0.0,-72
2026-07-15 01:00:21.633000+00:00,A,D,A-D,2.81,-76.03,0.0,-67
2026-07-15 01:00:21.781000+00:00,A,D,A-D,2.84,-80.48,0.0,-67
2026-07-15 01:00:27.461000+00:00,B,C,B-C,2.89,-79.95,54.91,-63
2026-07-15 01:00:27.596000+00:00,B,C,B-C,2.91,-79.92,54.91,-64
2026-07-15 01:00:42.237000+00:00,C,D,C-D,2.17,-80.0,0.0,-65
2026-07-15 01:00:42.582000+00:00,C,D,C-D,2.16,-80.3,0.0,-64
2026-07-15 01:00:42.831000+00:00,C,D,C-D,2.14,-79.67,0.0,-66
2026-07-15 01:00:43.070000+00:00,A,B,A-B,2.15,-88.42,-93.55,-70
2026-07-15 01:00:43.491000+00:00,A,B,A-B,2.12,-80.8,-91.94,-70
2026-07-15 01:00:44.452000+00:00,A,B,A-B,2.14,-80.98,-91.94,-69
2026-07-15 01:00:44.729000+00:00,A,B,A-B,2.14,-80.48,-91.94,-67
2026-07-15 01:00:44.992000+00:00,A,B,A-B,2.13,-80.8,-91.94,-70
2026-07-15 01:00:45.146000+00:00,A,B,A-B,34.89,-80.48,-91.94,-69
2026-07-15 01:00:45.569000+00:00,A,B,A-B,2.14,-80.48,-91.94,-68
2026-07-15 01:00:50.075000+00:00,C,D,C-D,2.16,-79.81,54.91,-63
2026-07-15 01:00:50.269000+00:00,A,B,A-B,2.15,-87.02,-92.41,-69
2026-07-15 01:00:50.771000+00:00,A,B,A-B,2.14,-80.73,-91.52,-68
2026-07-15 01:00:50.928000+00:00,A,B,A-B,2.17,-87.04,-92.16,-69
