file,link,samples,duration_s,samples_per_min,rx_mean,rx_std,range_mean,range_std,max_gap_s
empty_room.csv,A-B,60,232.02,15.52,-81.16216666666668,1.9098833859748088,2.680333333333334,4.228757868138661,31.131
empty_room.csv,A-C,17,232.02,4.4,-80.46058823529413,0.20116754796174552,3.419411764705882,0.015996323106926082,78.804
empty_room.csv,A-D,16,232.02,4.14,-80.14187500000001,1.1289772288816697,2.821875,0.020072784228070257,88.013
empty_room.csv,B-C,13,232.02,3.36,-79.99923076923076,0.22366125944016135,2.8861538461538463,0.013867504905630807,46.433
empty_room.csv,B-D,21,232.02,5.43,-81.12238095238096,3.246371674287936,3.318095238095238,0.3809543154712786,71.078
empty_room.csv,C-D,26,232.02,6.72,-81.19769230769232,2.9745081041305745,2.359615384615385,0.4768268513347861,63.73
standing_20cm_in_front_of_board_B.csv,A-B,27,59.0,27.46,-80.46407407407408,1.4501836999265874,2.174074074074074,0.02749255273415797,20.975
standing_20cm_in_front_of_board_B.csv,A-C,11,59.0,11.19,-80.88545454545455,0.20417461332710451,3.4209090909090913,0.022563042992710693,6.594
standing_20cm_in_front_of_board_B.csv,A-D,9,59.0,9.15,-80.33777777777779,0.32049874328059974,2.856666666666667,0.04092676385936234,23.399
standing_20cm_in_front_of_board_B.csv,B-C,0,59.0,0.0,,,,,
standing_20cm_in_front_of_board_B.csv,B-D,0,59.0,0.0,,,,,
standing_20cm_in_front_of_board_B.csv,C-D,5,59.0,5.08,-80.03799999999998,0.13627178724886294,2.128,0.03193743884534264,23.991
standing_in_front_of_boardA_20cm.csv,A-B,24,86.009,16.74,-80.18541666666667,0.4823220930553313,2.17875,0.04901752126846426,30.935
standing_in_front_of_boardA_20cm.csv,A-C,22,86.009,15.35,-81.33863636363638,0.5282251995805024,3.2895454545454546,0.592174984376419,38.639
standing_in_front_of_boardA_20cm.csv,A-D,5,86.009,3.49,-80.76599999999999,0.48112368472150724,3.086,0.03847076812334272,31.832
standing_in_front_of_boardA_20cm.csv,B-C,5,86.009,3.49,-80.158,0.42517055401332754,2.8960000000000004,0.016733200530681513,22.427
standing_in_front_of_boardA_20cm.csv,B-D,5,86.009,3.49,-80.38199999999999,2.564872316510123,3.468,0.02949576240750513,39.23
standing_in_front_of_boardA_20cm.csv,C-D,0,86.009,0.0,,,,,
standing_20cm_in_front_of boardD.csv,A-B,11,80.151,8.23,-84.04454545454546,12.458101270768642,2.153636363636364,0.02419616799112099,13.002
standing_20cm_in_front_of boardD.csv,A-C,15,80.151,11.23,-81.12999999999998,0.42421355807793587,3.406,0.028485585327118885,31.7
standing_20cm_in_front_of boardD.csv,A-D,6,80.151,4.49,-79.72833333333334,1.4802083186722974,2.8333333333333326,0.04633213427705077,31.355
standing_20cm_in_front_of boardD.csv,B-C,0,80.151,0.0,,,,,
standing_20cm_in_front_of boardD.csv,B-D,9,80.151,6.74,-81.14222222222222,3.4728762495148655,3.4633333333333334,0.03162277660168378,38.963
standing_20cm_in_front_of boardD.csv,C-D,7,80.151,5.24,-82.91142857142857,2.798400903917738,2.691428571428571,0.725337359932801,31.491
standing_in_front_of_board_C_20cm.csv,A-B,12,135.779,5.3,-80.005,0.9458089370769042,2.1641666666666666,0.024664414311581267,43.399
standing_in_front_of_board_C_20cm.csv,A-C,35,135.779,15.47,-80.48085714285716,0.6293150872111654,3.708285714285714,1.6377683627680788,31.536
standing_in_front_of_board_C_20cm.csv,A-D,3,135.779,1.33,-80.11333333333333,0.02516611478423459,3.2566666666666664,0.025166114784235735,0.157
standing_in_front_of_board_C_20cm.csv,B-C,30,135.779,13.26,-79.88900000000002,0.9837624818469425,3.94,5.737894002698803,15.334
standing_in_front_of_board_C_20cm.csv,B-D,23,135.779,10.16,-80.01086956521739,1.6011811351836458,3.5482608695652176,0.11010953942296171,71.68
standing_in_front_of_board_C_20cm.csv,C-D,20,135.779,8.84,-80.611,1.5109561281032067,2.2145,0.34788798862791875,55.8
walking_between_A_and_C_continusoly_back_and_froth.csv,A-B,15,148.4,6.06,-80.14066666666669,1.0278303547255445,2.175333333333334,0.03852024823141096,96.55
walking_between_A_and_C_continusoly_back_and_froth.csv,A-C,26,148.4,10.51,-80.7396153846154,0.429208394784919,3.4384615384615387,0.025407448938027294,31.544
walking_between_A_and_C_continusoly_back_and_froth.csv,A-D,14,148.4,5.66,-80.45285714285716,0.3728358799882244,2.919285714285714,0.19356828593207445,48.142
walking_between_A_and_C_continusoly_back_and_froth.csv,B-C,31,148.4,12.53,-80.14161290322579,0.3722731682890355,2.8758064516129034,0.01478156364042435,49.185
walking_between_A_and_C_continusoly_back_and_froth.csv,B-D,19,148.4,7.68,-79.2384210526316,1.0652712912571178,3.538421052631579,0.15152055811725265,55.598
walking_between_A_and_C_continusoly_back_and_froth.csv,C-D,6,148.4,2.43,-79.23166666666667,1.7401771940427988,2.151666666666667,0.030605010483034694,40.118
