timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15 01:07:54.842000+00:00,B,D,B-D,3.47,-85.22,54.91,-52
2026-07-15 01:07:54.844000+00:00,C,D,C-D,3.47,-85.22,54.91,-40
2026-07-15 01:07:55.003000+00:00,B,D,B-D,3.46,-79.42,54.91,-54
2026-07-15 01:07:55.340000+00:00,B,D,B-D,3.43,-78.74,54.91,-53
2026-07-15 01:07:55.478000+00:00,B,D,B-D,3.47,-78.89,54.91,-53
2026-07-15 01:07:55.623000+00:00,B,D,B-D,3.5,-79.3,54.91,-54
2026-07-15 01:07:56.507000+00:00,A,B,A-B,2.16,-79.94,54.95,-44
2026-07-15 01:07:56.639000+00:00,A,B,A-B,2.16,-80.22,54.95,-42
2026-07-15 01:07:57.002000+00:00,A,B,A-B,2.14,-80.03,54.95,-43
2026-07-15 01:07:57.141000+00:00,A,B,A-B,2.13,-79.84,54.95,-42
2026-07-15 01:07:57.356000+00:00,A,B,A-B,2.11,-80.79,54.95,-42
2026-07-15 01:07:57.495000+00:00,A,B,A-B,2.18,-79.93,54.95,-41
2026-07-15 01:07:57.654000+00:00,A,B,A-B,2.14,-80.93,54.95,-43
2026-07-15 01:07:57.827000+00:00,A,B,A-B,2.14,-80.12,54.95,-43
2026-07-15 01:08:10.829000+00:00,A,B,A-B,2.16,-121.59,-125.43,-43
2026-07-15 01:08:10.954000+00:00,A,B,A-B,2.18,-80.73,-92.62,-44
2026-07-15 01:08:11.123000+00:00,A,B,A-B,2.19,-80.37,-91.47,-43
2026-07-15 01:08:18.185000+00:00,C,D,C-D,2.1,-80.9,54.91,-42
2026-07-15 01:08:18.328000+00:00,C,D,C-D,2.11,-80.88,54.91,-42
2026-07-15 01:08:19.083000+00:00,C,D,C-D,2.12,-81.24,54.91,-41
2026-07-15 01:08:21.184000+00:00,A,D,A-D,2.8,-80.29,54.95,-43
2026-07-15 01:08:21.322000+00:00,A,D,A-D,2.88,-80.41,54.95,-43
2026-07-15 01:08:21.560000+00:00,A,D,A-D,2.88,-76.72,54.95,-42
2026-07-15 01:08:22.006000+00:00,A,D,A-D,2.86,-80.08,54.95,-42
2026-07-15 01:08:27.207000+00:00,A,C,A-C,3.34,-81.39,-92.05,-42
2026-07-15 01:08:28.583000+00:00,A,C,A-C,3.42,-80.45,-92.05,-44
2026-07-15 01:08:28.733000+00:00,A,C,A-C,3.38,-80.57,-92.05,-43
2026-07-15 01:08:28.879000+00:00,A,C,A-C,3.44,-80.36,-92.05,-43
2026-07-15 01:08:29.048000+00:00,A,C,A-C,3.44,-81.14,-92.05,-43
2026-07-15 01:08:29.219000+00:00,A,C,A-C,3.42,-81.12,-92.05,-43
2026-07-15 01:08:29.348000+00:00,A,C,A-C,3.4,-81.21,-92.05,-44
2026-07-15 01:08:29.697000+00:00,A,C,A-C,3.4,-81.6,-92.05,-44
2026-07-15 01:08:29.853000+00:00,A,C,A-C,3.44,-81.31,-92.05,-44
2026-07-15 01:08:34.586000+00:00,B,D,B-D,3.5,-79.03,54.91,-51
2026-07-15 01:08:37.583000+00:00,A,C,A-C,3.39,-81.67,54.95,-41
2026-07-15 01:08:37.739000+00:00,A,C,A-C,3.39,-81.71,54.95,-43
2026-07-15 01:08:37.887000+00:00,A,C,A-C,3.37,-81.42,54.95,-43
2026-07-15 01:08:43.641000+00:00,B,D,B-D,3.41,-78.68,54.91,-48
2026-07-15 01:08:50.574000+00:00,C,D,C-D,3.49,-88.16,0.0,-37
2026-07-15 01:08:50.581000+00:00,B,D,B-D,3.49,-88.16,54.91,-49
