timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15 01:04:13.307000+00:00,A,C,A-C,3.45,-80.96,54.95,-48
2026-07-15 01:04:13.473000+00:00,A,C,A-C,3.41,-80.66,54.95,-48
2026-07-15 01:04:13.701000+00:00,A,C,A-C,3.42,-80.94,54.95,-49
2026-07-15 01:04:13.833000+00:00,A,C,A-C,3.43,-80.51,54.95,-50
2026-07-15 01:04:20.427000+00:00,A,C,A-C,3.42,-80.98,54.95,-62
2026-07-15 01:04:20.825000+00:00,A,C,A-C,3.43,-80.92,54.95,-61
2026-07-15 01:04:21.075000+00:00,A,C,A-C,3.45,-80.63,54.95,-63
2026-07-15 01:04:21.221000+00:00,A,C,A-C,3.43,-81.03,54.95,-62
2026-07-15 01:04:21.395000+00:00,A,C,A-C,3.37,-81.22,54.95,-67
2026-07-15 01:04:21.530000+00:00,A,C,A-C,3.4,-80.92,54.95,-70
2026-07-15 01:04:21.771000+00:00,A,C,A-C,3.42,-80.97,54.95,-67
2026-07-15 01:04:26.362000+00:00,C,D,C-D,2.17,-79.9,54.91,-66
2026-07-15 01:04:26.554000+00:00,C,D,C-D,2.15,-80.17,54.91,-67
2026-07-15 01:04:26.828000+00:00,A,B,A-B,2.18,-86.67,-93.76,-65
2026-07-15 01:04:27.129000+00:00,A,B,A-B,2.14,-79.71,-93.19,-69
2026-07-15 01:04:27.331000+00:00,A,B,A-B,2.21,-79.86,-92.2,-70
2026-07-15 01:04:27.463000+00:00,A,B,A-B,2.18,-79.86,-91.44,-68
2026-07-15 01:04:27.654000+00:00,A,B,A-B,2.18,-79.87,-91.81,-64
2026-07-15 01:04:28.384000+00:00,A,B,A-B,2.19,-80.57,-91.81,-60
2026-07-15 01:04:28.732000+00:00,A,B,A-B,2.19,-80.55,-91.81,-63
2026-07-15 01:04:29.061000+00:00,A,B,A-B,2.2,-80.18,-91.81,-66
2026-07-15 01:04:29.190000+00:00,A,B,A-B,2.18,-80.49,-91.81,-62
2026-07-15 01:04:29.327000+00:00,A,B,A-B,2.18,-80.45,-91.81,-64
2026-07-15 01:04:29.484000+00:00,A,B,A-B,2.21,-80.42,-91.81,-63
2026-07-15 01:04:29.629000+00:00,A,B,A-B,2.18,-80.77,-91.81,-64
2026-07-15 01:04:29.775000+00:00,A,B,A-B,2.18,-81.16,-91.81,-65
2026-07-15 01:04:37.357000+00:00,A,D,A-D,2.88,-80.45,54.95,-65
2026-07-15 01:04:37.508000+00:00,A,D,A-D,2.91,-80.3,54.95,-62
2026-07-15 01:04:37.666000+00:00,A,D,A-D,2.88,-80.15,54.95,-62
2026-07-15 01:04:37.812000+00:00,A,D,A-D,2.88,-80.05,54.95,-64
2026-07-15 01:04:44.650000+00:00,A,B,A-B,2.15,-80.52,54.95,-61
2026-07-15 01:04:44.810000+00:00,A,B,A-B,2.17,-80.34,54.95,-55
2026-07-15 01:04:45.157000+00:00,A,B,A-B,2.16,-80.24,54.95,-55
2026-07-15 01:04:45.309000+00:00,A,B,A-B,2.18,-80.46,54.95,-54
2026-07-15 01:04:45.439000+00:00,A,B,A-B,2.2,-80.21,54.95,-56
2026-07-15 01:04:45.605000+00:00,A,B,A-B,2.19,-80.61,54.95,-59
2026-07-15 01:04:45.748000+00:00,A,B,A-B,2.17,-80.75,54.95,-60
2026-07-15 01:04:45.893000+00:00,A,B,A-B,2.17,-80.56,54.95,-62
2026-07-15 01:04:50.545000+00:00,C,D,C-D,2.12,-80.16,54.91,-65
