timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15T01:07:49.706+00:00,A,D,A-D,2.81,-80.47,54.95,-47
2026-07-15T01:07:49.829+00:00,A,D,A-D,2.77,-80.4,54.95,-46
2026-07-15T01:07:54.421+00:00,C,D,C-D,3.44,-82.84,54.91,-36
2026-07-15T01:07:54.423+00:00,B,D,B-D,3.44,-82.84,54.91,-50
2026-07-15T01:07:54.842+00:00,B,D,B-D,3.47,-85.22,54.91,-52
2026-07-15T01:07:54.844+00:00,C,D,C-D,3.47,-85.22,54.91,-40
2026-07-15T01:07:55.003+00:00,B,D,B-D,3.46,-79.42,54.91,-54
2026-07-15T01:07:55.340+00:00,B,D,B-D,3.43,-78.74,54.91,-53
2026-07-15T01:07:55.478+00:00,B,D,B-D,3.47,-78.89,54.91,-53
2026-07-15T01:07:55.623+00:00,B,D,B-D,3.5,-79.3,54.91,-54
2026-07-15T01:07:56.507+00:00,A,B,A-B,2.16,-79.94,54.95,-44
2026-07-15T01:07:56.639+00:00,A,B,A-B,2.16,-80.22,54.95,-42
2026-07-15T01:07:57.002+00:00,A,B,A-B,2.14,-80.03,54.95,-43
2026-07-15T01:07:57.141+00:00,A,B,A-B,2.13,-79.84,54.95,-42
2026-07-15T01:07:57.356+00:00,A,B,A-B,2.11,-80.79,54.95,-42
2026-07-15T01:07:57.495+00:00,A,B,A-B,2.18,-79.93,54.95,-41
2026-07-15T01:07:57.654+00:00,A,B,A-B,2.14,-80.93,54.95,-43
2026-07-15T01:07:57.827+00:00,A,B,A-B,2.14,-80.12,54.95,-43
2026-07-15T01:08:10.829+00:00,A,B,A-B,2.16,-121.59,-125.43,-43
2026-07-15T01:08:10.954+00:00,A,B,A-B,2.18,-80.73,-92.62,-44
2026-07-15T01:08:11.123+00:00,A,B,A-B,2.19,-80.37,-91.47,-43
2026-07-15T01:08:18.185+00:00,C,D,C-D,2.1,-80.9,54.91,-42
2026-07-15T01:08:18.328+00:00,C,D,C-D,2.11,-80.88,54.91,-42
2026-07-15T01:08:19.083+00:00,C,D,C-D,2.12,-81.24,54.91,-41
2026-07-15T01:08:21.184+00:00,A,D,A-D,2.8,-80.29,54.95,-43
2026-07-15T01:08:21.322+00:00,A,D,A-D,2.88,-80.41,54.95,-43
2026-07-15T01:08:21.560+00:00,A,D,A-D,2.88,-76.72,54.95,-42
2026-07-15T01:08:22.006+00:00,A,D,A-D,2.86,-80.08,54.95,-42
2026-07-15T01:08:27.207+00:00,A,C,A-C,3.34,-81.39,-92.05,-42
2026-07-15T01:08:28.583+00:00,A,C,A-C,3.42,-80.45,-92.05,-44
2026-07-15T01:08:28.733+00:00,A,C,A-C,3.38,-80.57,-92.05,-43
2026-07-15T01:08:28.879+00:00,A,C,A-C,3.44,-80.36,-92.05,-43
2026-07-15T01:08:29.048+00:00,A,C,A-C,3.44,-81.14,-92.05,-43
2026-07-15T01:08:29.219+00:00,A,C,A-C,3.42,-81.12,-92.05,-43
2026-07-15T01:08:29.348+00:00,A,C,A-C,3.4,-81.21,-92.05,-44
2026-07-15T01:08:29.697+00:00,A,C,A-C,3.4,-81.6,-92.05,-44
2026-07-15T01:08:29.853+00:00,A,C,A-C,3.44,-81.31,-92.05,-44
2026-07-15T01:08:34.586+00:00,B,D,B-D,3.5,-79.03,54.91,-51
2026-07-15T01:08:37.583+00:00,A,C,A-C,3.39,-81.67,54.95,-41
2026-07-15T01:08:37.739+00:00,A,C,A-C,3.39,-81.71,54.95,-43
2026-07-15T01:08:37.887+00:00,A,C,A-C,3.37,-81.42,54.95,-43
2026-07-15T01:08:43.641+00:00,B,D,B-D,3.41,-78.68,54.91,-48
2026-07-15T01:08:50.574+00:00,C,D,C-D,3.49,-88.16,0.0,-37
2026-07-15T01:08:50.581+00:00,B,D,B-D,3.49,-88.16,54.91,-49
2026-07-15T01:09:06.779+00:00,C,D,C-D,2.11,-81.14,0.0,-44
2026-07-15T01:09:09.587+00:00,A,C,A-C,3.42,-80.81,-106.76,-43
2026-07-15T01:09:09.718+00:00,A,C,A-C,3.42,-81.15,-106.76,-43
2026-07-15T01:09:09.857+00:00,A,C,A-C,3.42,-81.04,-106.76,-43
