timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15T01:04:02.803+00:00,C,D,C-D,2.11,-80.07,54.91,-62
2026-07-15T01:04:03.224+00:00,A,B,A-B,2.23,-79.82,-91.5,-58
2026-07-15T01:04:03.346+00:00,C,D,C-D,2.09,-79.89,54.91,-60
2026-07-15T01:04:03.720+00:00,A,B,A-B,2.11,-76.88,-92.62,-47
2026-07-15T01:04:04.777+00:00,A,B,A-B,2.15,-80.84,-92.62,-51
2026-07-15T01:04:05.012+00:00,A,B,A-B,2.17,-80.37,-92.62,-49
2026-07-15T01:04:05.363+00:00,A,B,A-B,2.12,-80.08,-92.62,-48
2026-07-15T01:04:05.853+00:00,A,B,A-B,2.13,-80.29,-92.62,-52
2026-07-15T01:04:13.307+00:00,A,C,A-C,3.45,-80.96,54.95,-48
2026-07-15T01:04:13.473+00:00,A,C,A-C,3.41,-80.66,54.95,-48
2026-07-15T01:04:13.701+00:00,A,C,A-C,3.42,-80.94,54.95,-49
2026-07-15T01:04:13.833+00:00,A,C,A-C,3.43,-80.51,54.95,-50
2026-07-15T01:04:20.427+00:00,A,C,A-C,3.42,-80.98,54.95,-62
2026-07-15T01:04:20.825+00:00,A,C,A-C,3.43,-80.92,54.95,-61
2026-07-15T01:04:21.075+00:00,A,C,A-C,3.45,-80.63,54.95,-63
2026-07-15T01:04:21.221+00:00,A,C,A-C,3.43,-81.03,54.95,-62
2026-07-15T01:04:21.395+00:00,A,C,A-C,3.37,-81.22,54.95,-67
2026-07-15T01:04:21.530+00:00,A,C,A-C,3.4,-80.92,54.95,-70
2026-07-15T01:04:21.771+00:00,A,C,A-C,3.42,-80.97,54.95,-67
2026-07-15T01:04:26.362+00:00,C,D,C-D,2.17,-79.9,54.91,-66
2026-07-15T01:04:26.554+00:00,C,D,C-D,2.15,-80.17,54.91,-67
2026-07-15T01:04:26.828+00:00,A,B,A-B,2.18,-86.67,-93.76,-65
2026-07-15T01:04:27.129+00:00,A,B,A-B,2.14,-79.71,-93.19,-69
2026-07-15T01:04:27.331+00:00,A,B,A-B,2.21,-79.86,-92.2,-70
2026-07-15T01:04:27.463+00:00,A,B,A-B,2.18,-79.86,-91.44,-68
2026-07-15T01:04:27.654+00:00,A,B,A-B,2.18,-79.87,-91.81,-64
2026-07-15T01:04:28.384+00:00,A,B,A-B,2.19,-80.57,-91.81,-60
2026-07-15T01:04:28.732+00:00,A,B,A-B,2.19,-80.55,-91.81,-63
2026-07-15T01:04:29.061+00:00,A,B,A-B,2.2,-80.18,-91.81,-66
2026-07-15T01:04:29.190+00:00,A,B,A-B,2.18,-80.49,-91.81,-62
2026-07-15T01:04:29.327+00:00,A,B,A-B,2.18,-80.45,-91.81,-64
2026-07-15T01:04:29.484+00:00,A,B,A-B,2.21,-80.42,-91.81,-63
2026-07-15T01:04:29.629+00:00,A,B,A-B,2.18,-80.77,-91.81,-64
2026-07-15T01:04:29.775+00:00,A,B,A-B,2.18,-81.16,-91.81,-65
2026-07-15T01:04:37.357+00:00,A,D,A-D,2.88,-80.45,54.95,-65
2026-07-15T01:04:37.508+00:00,A,D,A-D,2.91,-80.3,54.95,-62
2026-07-15T01:04:37.666+00:00,A,D,A-D,2.88,-80.15,54.95,-62
2026-07-15T01:04:37.812+00:00,A,D,A-D,2.88,-80.05,54.95,-64
2026-07-15T01:04:44.650+00:00,A,B,A-B,2.15,-80.52,54.95,-61
2026-07-15T01:04:44.810+00:00,A,B,A-B,2.17,-80.34,54.95,-55
2026-07-15T01:04:45.157+00:00,A,B,A-B,2.16,-80.24,54.95,-55
2026-07-15T01:04:45.309+00:00,A,B,A-B,2.18,-80.46,54.95,-54
2026-07-15T01:04:45.439+00:00,A,B,A-B,2.2,-80.21,54.95,-56
2026-07-15T01:04:45.605+00:00,A,B,A-B,2.19,-80.61,54.95,-59
2026-07-15T01:04:45.748+00:00,A,B,A-B,2.17,-80.75,54.95,-60
2026-07-15T01:04:45.893+00:00,A,B,A-B,2.17,-80.56,54.95,-62
2026-07-15T01:04:50.545+00:00,C,D,C-D,2.12,-80.16,54.91,-65
2026-07-15T01:05:01.211+00:00,A,D,A-D,2.85,-80.58,54.95,-46
2026-07-15T01:05:01.363+00:00,A,D,A-D,2.8,-80.71,54.95,-45
2026-07-15T01:05:01.530+00:00,A,D,A-D,2.89,-79.96,54.95,-43
2026-07-15T01:05:01.661+00:00,A,D,A-D,2.8,-80.01,54.95,-44
2026-07-15T01:05:01.803+00:00,A,D,A-D,2.82,-80.83,54.95,-52
